name,abbreviation,url,tags
Trans-European Transport Network Executive Agency,TEN-TEA,http://ec.europa.eu/tentea,executive_agency
Historical archives,,http://www.ec.europa.eu,ec_service
Bureau of European Policy Advisers (BEPA),BEPA,,ec_service
Central Library,,,ec_service
Translation Centre for the Bodies of the European Union,CdT,http://www.cdt.europa.eu,policy_agency
European Centre for the Development of Vocational Training,CEDEFOP,http://www.cedefop.europa.eu,policy_agency
European Police College,CEPOL,http://www.cepol.europa.eu,judicial_agency
Computer Emergency Response Team (CERT),CERT,,other
Community Fisheries Control Agency,CFCA,http://www.cfca.europa.eu,policy_agency
European Systemic Risk Board (ESRB),ESRB,http://www.esrb.europa.eu,financial_supervisory
Council of the EU,,http://www.consilium.europa.eu,council_eu
Committee of the Regions,CoR,,committee_regions
Community Plant Variety Office,CPVO,http://www.cpvo.europa.eu,policy_agency
European Ombudsman,,http://www.ombudsman.europa.eu,european_ombudsman
Budget (BUDG),DG BDG,http://www.ec.europa.eu,ec_dg
Climate Action (CLIMA),DG CLIMA,http://www.ec.europa.eu,ec_dg
Communication (COMM),DG COMM,http://www.ec.europa.eu,ec_dg
Competition (COMP),DG COMP,http://www.ec.europa.eu,ec_dg
Informatics (DIGIT),DG DIGIT,http://www.ec.europa.eu,ec_dg
Education and Culture (EAC),DG EAC,http://www.ec.europa.eu,ec_dg
Economic and Financial Affairs (ECFIN),DG ECFIN,http://www.ec.europa.eu,ec_dg
Foreign Policy Instruments Service (EEAS),DG EEAS,http://www.ec.europa.eu,ec_dg
"Employment, Social Affairs and Inclusion (EMPL)",DG EMPL,http://www.ec.europa.eu,ec_dg
Energy (ENER),DG ENER,http://www.ec.europa.eu,ec_dg
Enterprise and Industry (ENTR),DG ENTR,http://www.ec.europa.eu,ec_dg
Environment (ENV),DG ENV,http://www.ec.europa.eu,ec_dg
Eurostat (ESTAT),DG ESTAT,http://www.ec.europa.eu,ec_dg
Home Affairs (HOME),DG HOME,http://www.ec.europa.eu,ec_dg
Human Resources and Security (HR),DG HR,http://www.ec.europa.eu,ec_dg
Information Society and Media (INFSO),DG INFSO,http://www.ec.europa.eu,ec_dg
Joint Research Centre (JRC),DG JRC,http://www.ec.europa.eu,ec_dg
Justice (JUST),DG JUST,http://www.ec.europa.eu,ec_dg
Maritime Affairs and Fisheries (MARE),DG MARE,http://www.ec.europa.eu,ec_dg
Internal Market and Services (MARKT),DG MARKT,http://www.ec.europa.eu,ec_dg
Mobility and Transport (MOVE),DG MOVE,http://www.ec.europa.eu,ec_dg
Research and Innovation (RTD),DG RTD,http://www.ec.europa.eu,ec_dg
Health and Consumers (SANCO),DG SANCO,http://www.ec.europa.eu,ec_dg
Interpretation (SCIC),DG SCIC,http://www.ec.europa.eu,ec_dg
Secretariat General (SG),DG SG,http://www.ec.europa.eu,ec_dg
Translation (DGT),DGT,http://www.ec.europa.eu,ec_dg
Taxation and Customs Union (TAXUD),DG TAXUD,http://www.ec.europa.eu,ec_dg
Trade (TRADE),DG TRADE,http://www.ec.europa.eu,ec_dg
Agriculture and Rural Development (AGRI),DG AGRI,http://www.ec.europa.eu,ec_dg
Humanitarian Aid and Civil Protection (ECHO),DG ECHO,http://www.ec.europa.eu,ec_dg
Regional Policy (REGIO),DG REGIO,http://www.ec.europa.eu,ec_dg
Enlargement (ELARG),DG ELARG,http://www.ec.europa.eu,ec_dg
Development & Cooperation - EuropeAid (DEVCO),DG DEVCO,http://www.ec.europa.eu,ec_dg
European Commission Data Protection Officer,,,ec_service
"Education, Audiovisual and Culture Executive Agency (EACEA)",EACEA,http://eacea.ec.europa.eu/index_en.php,executive_agency
Executive Agency for Competitiveness and Innovation (EACI),EACI,,executive_agency
Executive Agency for Health and Consumers (EAHC),EAHC,,executive_agency
European Aviation Safety Agency,EASA,http://www.easa.europa.eu,policy_agency
European Asylum Support Office (at planning stage),EASO,http://www.ec.europa.eu,policy_agency
European Banking Authority (EBA),EBA,http://www.eba.europa.eu,financial_supervisory
European Central Bank,ECB,http://www.ecb.europa.eu,ecb
European Centre for Disease Prevention and Control,ECDC,http://www.ecdc.europa.eu,policy_agency
European Chemicals Agency,ECHA,http://www.echa.europa.eu,policy_agency
European Court of Justice,ECJ,,court_justice
European Defence Agency,EDA,http://www.eda.europa.eu,security_agency
European Data Protection Supervisor,EDPS,http://www.edps.europa.eu,edps
European Environment Agency,EEA,,policy_agency
European External Action Service,EEAS,http://www.ec.europa.eu,eeas
European Economic and Social Committee,EESC,,eesc
European Food Safety Authority,EFSA,,policy_agency
European Investment Bank,EIB,,eib
European Institute for Gender Equality,EIGE,http://www.eige.europa.eu,policy_agency
European Insurance and Occupational Pensions Authority (EIOPA),EIOPA,http://www.eiopa.europa.eu,financial_supervisory
European Court of Auditors,,http://www.eca.europa.eu,court_auditors
European Medicines Agency,EMA,http://www.ema.europa.eu,policy_agency
European Monitoring Centre for Drugs and Drug Addiction,EMCDDA,http://www.emcdda.europa.eu,policy_agency
European Maritime Safety Agency,EMSA,http://www.emsa.europa.eu,policy_agency
European Network and Information Security Agency,ENISA,http://www.enisa.europa.eu,policy_agency
European Personnel Selection Office,EPSO,,other
European Railway Agency – promoting safe and compatible rail systems,ERA,http://www.era.europa.eu,policy_agency
European Research Council Executive Agency (ERC Executive Agency),ERCEA,,executive_agency
EURATOM Supply Agency,ESA,http://www.ec.europa.eu,euratom
European Securities and Markets Authority (ESMA),ESMA,http://www.esma.europa.eu,financial_supervisory
European Training Foundation,ETF,http://www.etf.europa.eu,policy_agency
European Agency for Safety and Health at Work,EU-OSHA,http://osha.europa.eu,policy_agency
European Foundation for the Improvement of Living and Working Conditions (EUROFOUND),EUROFOUND,http://www.eurofound.europa.eu,policy_agency
The European Union’s Judicial Cooperation Unit,EUROJUST,http://www.eurojust.europa.eu,judicial_agency
European Council,,http://www.consilium.europa.eu,european_council
European Police Office,EUROPOL,,judicial_agency
European Union Satellite Centre,EUSC,http://www.eusc.europa.eu,security_agency
European Joint Undertaking for ITER and the Development of Fusion Energy (Fusion for Energy),F4E,http://www.f4e.europa.eu,euratom
European Union Agency for Fundamental Rights,FRA,http://www.fra.europa.eu,policy_agency
European Agency for the Management of Operational Cooperation at the External Borders (FRONTEX),FRONTEX,http://www.frontex.europa.eu,policy_agency
European GNSS Agency,GSA,http://www.gsa.europa.eu,policy_agency
Internal Audit Service (IAS),IAS,,ec_service
Internal admin authority,,http://www.asktheeu.org,
European Union Institute for Security Studies,ISS,http://www.iss.europa.eu,security_agency
European Administrative School,,,other
Office for Official Publications of the European Communities,OOPEC,http://www.publications.europa.eu,other
Office for Harmonisation in the Internal Market (Trade Marks and Designs),OHIM,http://www.oami.europa.eu,policy_agency
Infrastructures and Logistics - Brussels (OIB),OIB,,ec_service
Infrastructures and Logistics - Luxembourg (OIL),OIL,,ec_service
European Anti-Fraud Office (OLAF),OLAF,http://www.ec.europa.eu,ec_service
Publications Office (OP),OP,,ec_service
European Parliament,,http://www.europarl.europa.eu,european_parliament
Office For Administration And Payment Of Individual Entitlements (PMO),PMO,,ec_service
Research Executive Agency (REA),REA,,executive_agency
Permanent Representation of Cyprus to the EU,,http://www.mfa.gov.cy,permanent_representative
Permanent Representation of Belgium to the EU,,http://www.diplobel.fed.be,permanent_representative
Permanent Representation of Bulgaria to the EU,,http://www.ec.europa.eu,permanent_representative
Permanent Representation of Finland to the EU,,http://www.om.fi,permanent_representative
Permanent Representation of France to the EU,,http://www.diplomatie.gouv.fr,permanent_representative
Permanent Representation of Greece to the EU,,http://www.rp-grece.be,permanent_representative
Permanent Representation of Hungary to the EU,,http://www.irm.gov.hu,permanent_representative
Permanent Representation of Latvia to the EU,,http://www.mfa.gov.lv,permanent_representative
Permanent Representation of Lithuania to the EU,,http://www.eurep.mfa.lt,permanent_representative
Permanent Representation of Germany to the EU,,http://www.auswaertiges-amt.de,permanent_representative
Permanent Representation of Poland to the EU,,http://www.msz.gov.pl,permanent_representative
Permanent Representation of Czech Republic to the EU,,http://www.vlada.cz,permanent_representative
Permanent Representation of Slovakia to the EU,,http://www.mzv.sk,permanent_representative
Permanent Representation of Slovenia to the EU,,http://www.gov.si,permanent_representative
Permanent Representation of Sweden to the EU,,http://www.foreign.ministry.se,permanent_representative
Permanent Representation of Austria to the EU,,http://www.bmeia.gv.at,permanent_representative
Permanent Representation of Spain to the EU,,http://www.reper.maec.es,permanent_representative
Permanent Representation of Estonia to the EU,,http://www.mfa.ee,permanent_representative
Permanent Representation of Ireland to the EU,,http://www.dfa.ie,permanent_representative
Permanent Representation of Italy to the EU,,http://www.rpue.esteri.it,permanent_representative
Permanent Representation of Malta to the EU,,http://www.gov.mt,permanent_representative
Permanent Representation of Romania to the EU,,http://www.rpro.eu,permanent_representative
Permanent Representation of Netherlands to the EU,,http://www.minbuza.nl,permanent_representative
Permanent Representation of Denmark to the EU,,http://www.um.dk,permanent_representative
Permanent Representation of Luxembourg to the EU,,http://www.rpue.etat.lu,permanent_representative
Permanent Representation of Portugal to the EU,,http://www.dgac.pt,permanent_representative
Permanent Representation of UK to the EU,,http://www.fco.gov.uk,permanent_representative
Legal Service (SJ),SJ,,ec_service
